,시도명,시군구명,년,월,구분,count,mean,거래날짜,타입
285,경기도,시흥시,2021,03,전세,815,23125,2021-03-01,apt
286,경기도,시흥시,2021,04,월세,277,6039,2021-04-01,apt
287,경기도,시흥시,2021,04,전세,675,22854,2021-04-01,apt
288,경기도,시흥시,2021,05,월세,287,4806,2021-05-01,apt
289,경기도,시흥시,2021,05,전세,703,24736,2021-05-01,apt
290,경기도,시흥시,2021,06,월세,624,7402,2021-06-01,apt
291,경기도,시흥시,2021,06,전세,769,25587,2021-06-01,apt
292,경기도,시흥시,2021,07,월세,390,4240,2021-07-01,apt
293,경기도,시흥시,2021,07,전세,754,25907,2021-07-01,apt
294,경기도,안산시 단원구,2021,01,월세,103,5104,2021-01-01,apt
295,경기도,안산시 단원구,2021,01,전세,308,22332,2021-01-01,apt
296,경기도,안산시 단원구,2021,02,월세,103,4285,2021-02-01,apt
297,경기도,안산시 단원구,2021,02,전세,303,23912,2021-02-01,apt
298,경기도,안산시 단원구,2021,03,월세,112,4610,2021-03-01,apt
299,경기도,안산시 단원구,2021,03,전세,423,22539,2021-03-01,apt
300,경기도,안산시 단원구,2021,04,월세,96,5050,2021-04-01,apt
301,경기도,안산시 단원구,2021,04,전세,286,23037,2021-04-01,apt
302,경기도,안산시 단원구,2021,05,월세,302,3643,2021-05-01,apt
303,경기도,안산시 단원구,2021,05,전세,389,26003,2021-05-01,apt
304,경기도,안산시 단원구,2021,06,월세,347,3552,2021-06-01,apt
305,경기도,안산시 단원구,2021,06,전세,582,23794,2021-06-01,apt
306,경기도,안산시 단원구,2021,07,월세,315,3557,2021-07-01,apt
307,경기도,안산시 단원구,2021,07,전세,530,25474,2021-07-01,apt
308,경기도,안산시 상록구,2021,01,월세,66,3084,2021-01-01,apt
309,경기도,안산시 상록구,2021,01,전세,222,23212,2021-01-01,apt
310,경기도,안산시 상록구,2021,02,월세,75,4516,2021-02-01,apt
311,경기도,안산시 상록구,2021,02,전세,316,22422,2021-02-01,apt
312,경기도,안산시 상록구,2021,03,월세,67,4665,2021-03-01,apt
